SYMBOL,NAME,PRICE(USD)
BTC,Bitcoin,20762.7205533597903563
ETH,Ethereum,1212.3907492467358183
USDT,Tether,0.9986687675233715
USDC,USD Coin,0.9995539845007443
BNB,BNB,236.7161661450836207
BUSD,Binance USD,0.9992175466870654
XRP,XRP,0.3352723150320817
ADA,Cardano,0.4361181565805297
SOL,Solana,37.7177667153555137
DOGE,Dogecoin,0.0632208520835743
DOT,Polkadot,6.8499029233798137
DAI,Multi Collateral DAI,0.9994397590547298
LUNA,Terra,1.8324788039562808
TRX,TRON,0.0672067994856007
SHIB,Shiba Inu,0.0000108889328188
AVAX,Avalanche,19.7724497995884411
MATIC,Polygon,0.6905449153628250
UNI,Uniswap,6.9311306357005871
LEO,UNUS SED LEO,5.2351519278329756
WBTC,Wrapped Bitcoin,20767.8793748214041259
LTC,Litecoin,50.9334872424044504
FTT,FTX Token,26.2542009661574321
CRO,Crypto.com Coin,0.1192932352733803
LINK,Chainlink,6.2493934626914671
XLM,Stellar,0.1065579504491815
NEAR,NEAR Protocol,3.5216266271915694
XMR,Monero,133.2893101575835538
ATOM,Cosmos,9.1752670390389405
ALGO,Algorand,0.3253154394003880
BTCB,Bitcoin BEP2,20779.0264008105935951
ETC,Ethereum Classic,14.8752624844988378
BCH,Bitcoin Cash,104.6582773303483607
ICP,Internet Computer,6.9203549748535952
VET,VeChain,0.0230796654053357
FLOW,Flow,1.5488334957139380
MANA,Decentraland,0.8470479623930340
SAND,The Sandbox,1.2070983744595484
XTZ,Tezos,1.5884523966552967
FRAX,Frax,0.9923168409566042
EGLD,Elrond,59.3315596332024422
QNT,Quant,105.8935292061468437
AAVE,Aave,91.1681171117271236
FIL,Filecoin,5.3722676552386071
TUSD,TrueUSD,0.9986580181148243
THETA,THETA,1.1642130557409328
AXS,Axie Infinity,13.8870066406434624
HNT,Helium,8.9288483465417968
BSV,Bitcoin SV,52.8319114516453498
EOS,EOS,0.9720477394342263
HBAR,Hedera Hashgraph,0.0650803714946947
USDP,Pax Dollar,0.9995092159234820
KCS,KuCoin Token,9.1444526366829964
MKR,Maker,907.1968382241923395
ZEC,Zcash,58.3834963097974003
OKB,OKB,12.6164447895795380
RUNE,THORChain,2.2781244183011808
MIOTA,IOTA,0.2688833844433161
XEC,eCash,0.0000390596130404
HT,Huobi Token,4.4754237761546409
GRT,The Graph,0.0970040765056830
KLAY,Klaytn,0.2260415750028450
FTM,Fantom,0.2573882275795438
CHZ,Chiliz,0.1052279570943148
NEO,Neo,8.8051388444508680
CRV,Curve DAO Token,1.1322933451187613
BAT,Basic Attention Token,0.3956499714390339
PAXG,PAX Gold,1701.9927716020449775
WAVES,Waves,5.0610686802218810
LRC,Loopring,0.3825983097342219
STX,Stacks,0.3785129173651136
DFI,DeFiChain,0.9691845007871476
ZIL,Zilliqa,0.0379093625252566
AR,Arweave,14.4943488158484777
DASH,Dash,44.5163687138008897
USTC,TerraClassicUSD,0.0472921871775484
KSM,Kusama,53.5652310328020701
ENJ,Enjin Coin,0.5051813532943613
CAKE,PancakeSwap,3.0865923094403438
CVX,Convex Finance,6.6119527690761261
FEI,Fei Protocol,0.9837345732495493
COMP,Compound,57.2034375088301439
CELO,Celo,0.8919080756904626
KAVA,Kava,1.7319010177625033
MINA,Mina,0.6678270391935784
AMP,Amp,0.0090843302739101
1INCH,1inch Network,0.6555028509782875
XEM,NEM,0.0408262305633207
GALA,Gala,0.0498270832790351
HOT,Holo,0.0019993362062673
NEXO,Nexo,0.6178373019068189
XDC,XinFin Network,0.0274664737947988
CCXX,Counos X,18.4590751416482460
LDO,Lido DAO,1.0428213086466648
DCR,Decred,22.9732087493238180
GT,GateToken,4.0090153604166113
GNO,Gnosis,121.6952588925097577
SNX,Synthetix,2.6553163159339066
CEEK,CEEK VR,0.3616434679860470
QTUM,Qtum,2.7642642737915964
WEMIX,WEMIX,2.3343318427218186
